ID_Cliente,Nome_Cliente,id_estado,sigla,estado,regiao,ID_Venda,Data,SKU_Produto,Categoria,Nome_Produto,Quantidade,Preco,valor_venda,Canal
16,Joaquim Pereira,17,PE,Pernambuco,Nordeste,704,2023-08-03,SKU-56364,Casa,Conjunto de Talheres,1,68.89,68.89,Online
16,Joaquim Pereira,17,PE,Pernambuco,Nordeste,905,2023-05-27,SKU-25929,Esporte,Mochila de Hidratação,7,295.55,2068.85,Online
17,Srta. Beatriz Cardoso,13,MG,Minas Gerais,Sudeste,556,2023-11-10,SKU-91071,Roupas,Sapatilhas Femininas,6,150.05,900.3000000000001,Loja Física
18,Sra. Ana Lívia da Luz,3,AP,Amapá,Norte,190,2023-12-19,SKU-31191,Esporte,Esteira Elétrica,1,1862.8,1862.8,Loja Física
18,Sra. Ana Lívia da Luz,3,AP,Amapá,Norte,773,2023-06-06,SKU-56364,Casa,Conjunto de Talheres,10,68.89,688.9,Loja Física
19,Camila Mendes,13,MG,Minas Gerais,Sudeste,109,2023-04-08,SKU-25095,Brinquedos,Jogo de Tabuleiro,8,190.34,1522.72,Loja Física
19,Camila Mendes,13,MG,Minas Gerais,Sudeste,437,2023-01-22,SKU-99850,Roupas,Vestido Feminino,7,354.77,2483.39,Loja Física
19,Camila Mendes,13,MG,Minas Gerais,Sudeste,626,2023-07-20,SKU-67575,Esporte,Raquete de Tênis,9,379.94,3419.46,Loja Física
20,Juan Costa,9,GO,Goiás,Centro-Oeste,51,2023-09-07,SKU-37178,Eletrônicos,Carregador Portátil,5,53.67,268.35,Online
20,Juan Costa,9,GO,Goiás,Centro-Oeste,302,2023-08-06,SKU-56364,Casa,Conjunto de Talheres,10,68.89,688.9,Online
20,Juan Costa,9,GO,Goiás,Centro-Oeste,681,2023-03-20,SKU-77662,Esporte,Tapete de Yoga,3,80.11,240.32999999999998,Online
21,Srta. Maria Clara Barbosa,24,SC,Santa Catarina,Sul,61,2023-08-16,SKU-20568,Eletrônicos,Roteador Wi-Fi,10,491.41,4914.1,Online
21,Srta. Maria Clara Barbosa,24,SC,Santa Catarina,Sul,197,2023-09-14,SKU-69331,Casa,Organizador de Gavetas,1,136.47,136.47,Online
22,Lorenzo Souza,15,PB,Paraíba,Nordeste,242,2023-10-01,SKU-37873,Casa,Ventilador de Mesa,4,270.78,1083.12,Online
22,Lorenzo Souza,15,PB,Paraíba,Nordeste,499,2023-01-06,SKU-30676,Brinquedos,Urso de Pelúcia,10,93.4,934.0,Online
22,Lorenzo Souza,15,PB,Paraíba,Nordeste,864,2023-07-03,SKU-68873,Casa,Cafeteira Elétrica,9,750.7,6756.3,Online
24,Theo Fernandes,6,CE,Ceará,Nordeste,41,2023-12-07,SKU-72688,Eletrônicos,Smartphone,1,2718.36,2718.36,Online
24,Theo Fernandes,6,CE,Ceará,Nordeste,333,2023-01-22,SKU-35933,Esporte,Halteres de Academia,6,249.82,1498.92,Online
24,Theo Fernandes,6,CE,Ceará,Nordeste,371,2023-04-09,SKU-46571,Roupas,Camisa Social,9,166.94,1502.46,Online
24,Theo Fernandes,6,CE,Ceará,Nordeste,857,2023-12-31,SKU-37873,Casa,Ventilador de Mesa,1,270.78,270.78,Online
25,Sarah Alves,21,RS,Rio Grande do Sul,Sul,573,2023-04-02,SKU-92162,Eletrônicos,Alto-falante Bluetooth,6,1198.31,7189.86,Loja Física
27,Agatha Teixeira,5,BA,Bahia,Nordeste,505,2023-05-30,SKU-86759,Eletrônicos,Smartwatch,2,185.34,370.68,Loja Física
27,Agatha Teixeira,5,BA,Bahia,Nordeste,860,2023-04-16,SKU-94109,Brinquedos,Kit de Cozinha Infantil,8,136.43,1091.44,Loja Física
27,Agatha Teixeira,5,BA,Bahia,Nordeste,863,2023-06-22,SKU-22668,Brinquedos,Carrinho de Controle Remoto,4,273.79,1095.16,Loja Física
28,Sr. Vinicius das Neves,4,AM,Amazonas,Norte,25,2023-09-22,SKU-30274,Brinquedos,Kit de Desenho,7,148.7,1040.8999999999999,Loja Física
28,Sr. Vinicius das Neves,4,AM,Amazonas,Norte,506,2023-11-13,SKU-20895,Casa,Espelho de Parede,2,226.92,453.84,Loja Física
29,Bruno Pereira,3,AP,Amapá,Norte,75,2023-04-06,SKU-22668,Brinquedos,Carrinho de Controle Remoto,3,273.79,821.3700000000001,Online
29,Bruno Pereira,3,AP,Amapá,Norte,138,2023-07-07,SKU-26147,Esporte,Skate,9,157.01,1413.09,Online
29,Bruno Pereira,3,AP,Amapá,Norte,975,2023-08-17,SKU-35933,Esporte,Halteres de Academia,6,249.82,1498.92,Online
30,Davi Lucas Cunha,17,PE,Pernambuco,Nordeste,32,2023-04-28,SKU-68873,Casa,Cafeteira Elétrica,1,750.7,750.7,Loja Física
30,Davi Lucas Cunha,17,PE,Pernambuco,Nordeste,199,2023-05-14,SKU-30676,Brinquedos,Urso de Pelúcia,2,93.4,186.8,Loja Física
30,Davi Lucas Cunha,17,PE,Pernambuco,Nordeste,780,2023-09-24,SKU-10344,Brinquedos,Brinquedo Educativo,8,79.47,635.76,Loja Física
31,Pietro Cardoso,15,PB,Paraíba,Nordeste,929,2023-08-20,SKU-21352,Roupas,Saia Midi,4,123.24,492.96,Online
32,João Guilherme Costa,22,RO,Rondônia,Norte,263,2023-12-03,SKU-36297,Roupas,Jaqueta de Couro,6,1959.53,11757.18,Online
32,João Guilherme Costa,22,RO,Rondônia,Norte,355,2023-03-21,SKU-68595,Roupas,Camiseta Masculina,2,47.57,95.14,Online
32,João Guilherme Costa,22,RO,Rondônia,Norte,520,2023-10-09,SKU-47207,Esporte,Bicicleta Mountain Bike,5,1671.59,8357.949999999999,Online
33,Evelyn Sales,24,SC,Santa Catarina,Sul,77,2023-10-25,SKU-56364,Casa,Conjunto de Talheres,7,68.89,482.23,Loja Física
33,Evelyn Sales,24,SC,Santa Catarina,Sul,736,2023-10-05,SKU-56364,Casa,Conjunto de Talheres,8,68.89,551.12,Loja Física
35,Sr. Benjamin Correia,2,AL,Alagoas,Nordeste,593,2023-12-22,SKU-10889,Eletrônicos,Câmera Digital,3,5602.01,16806.03,Online
37,Ana Carolina Melo,23,RR,Roraima,Norte,802,2023-08-02,SKU-28878,Roupas,Calça Jeans,5,123.17,615.85,Online
38,Breno Costela,11,MT,Mato Grosso,Centro-Oeste,352,2023-10-29,SKU-30676,Brinquedos,Urso de Pelúcia,2,93.4,186.8,Online
38,Breno Costela,11,MT,Mato Grosso,Centro-Oeste,455,2023-07-13,SKU-37178,Eletrônicos,Carregador Portátil,6,53.67,322.02,Online
39,Brenda Moura,27,TO,Tocantins,Norte,299,2023-01-15,SKU-19189,Brinquedos,Blocos de Montar,2,167.64,335.28,Online
39,Brenda Moura,27,TO,Tocantins,Norte,858,2023-12-27,SKU-47220,Roupas,Tênis Esportivo,5,164.48,822.4,Online
40,Lavínia Castro,12,MS,Mato Grosso do Sul,Centro-Oeste,414,2023-01-09,SKU-56364,Casa,Conjunto de Talheres,3,68.89,206.67000000000002,Online
40,Lavínia Castro,12,MS,Mato Grosso do Sul,Centro-Oeste,430,2023-04-04,SKU-50582,Eletrônicos,Laptop,8,4526.6,36212.8,Online
40,Lavínia Castro,12,MS,Mato Grosso do Sul,Centro-Oeste,552,2023-07-27,SKU-99850,Roupas,Vestido Feminino,8,354.77,2838.16,Online
40,Lavínia Castro,12,MS,Mato Grosso do Sul,Centro-Oeste,664,2023-01-09,SKU-37873,Casa,Ventilador de Mesa,5,270.78,1353.8999999999999,Online
43,Daniel Lima,24,SC,Santa Catarina,Sul,590,2023-09-25,SKU-59736,Roupas,Blusa de Moletom,1,154.46,154.46,Loja Física
44,Davi Lucas Duarte,7,DF,Distrito Federal,Centro-Oeste,146,2023-11-24,SKU-53822,Brinquedos,Quebra-cabeça,1,122.47,122.47,Loja Física
45,João Lucas da Paz,6,CE,Ceará,Nordeste,163,2023-08-18,SKU-79560,Brinquedos,Patinete Infantil,4,131.58,526.32,Loja Física
46,Sra. Fernanda Ramos,26,SE,Sergipe,Nordeste,343,2023-05-28,SKU-47207,Esporte,Bicicleta Mountain Bike,5,1671.59,8357.949999999999,Loja Física
47,Mariane Pereira,8,ES,Espírito Santo,Sudeste,27,2023-03-20,SKU-68595,Roupas,Camiseta Masculina,3,47.57,142.71,Loja Física
47,Mariane Pereira,8,ES,Espírito Santo,Sudeste,229,2023-04-05,SKU-56364,Casa,Conjunto de Talheres,1,68.89,68.89,Loja Física
47,Mariane Pereira,8,ES,Espírito Santo,Sudeste,337,2023-08-02,SKU-31191,Esporte,Esteira Elétrica,2,1862.8,3725.6,Loja Física
47,Mariane Pereira,8,ES,Espírito Santo,Sudeste,393,2023-10-06,SKU-30676,Brinquedos,Urso de Pelúcia,2,93.4,186.8,Loja Física
47,Mariane Pereira,8,ES,Espírito Santo,Sudeste,830,2023-08-24,SKU-91071,Roupas,Sapatilhas Femininas,2,150.05,300.1,Loja Física
47,Mariane Pereira,8,ES,Espírito Santo,Sudeste,979,2023-11-02,SKU-26147,Esporte,Skate,8,157.01,1256.08,Loja Física
48,Rafaela Carvalho,20,RN,Rio Grande do Norte,Nordeste,144,2023-09-08,SKU-56364,Casa,Conjunto de Talheres,5,68.89,344.45,Online
48,Rafaela Carvalho,20,RN,Rio Grande do Norte,Nordeste,896,2023-05-27,SKU-54960,Eletrônicos,Fone de Ouvido Bluetooth,1,128.9,128.9,Online
49,Davi Lucca Cardoso,12,MS,Mato Grosso do Sul,Centro-Oeste,179,2023-07-04,SKU-36297,Roupas,Jaqueta de Couro,2,1959.53,3919.06,Loja Física
53,Dr. Erick Gonçalves,19,RJ,Rio de Janeiro,Sudeste,416,2023-02-28,SKU-59736,Roupas,Blusa de Moletom,1,154.46,154.46,Online
53,Dr. Erick Gonçalves,19,RJ,Rio de Janeiro,Sudeste,461,2023-08-22,SKU-30274,Brinquedos,Kit de Desenho,6,148.7,892.1999999999999,Online
53,Dr. Erick Gonçalves,19,RJ,Rio de Janeiro,Sudeste,686,2023-05-08,SKU-74214,Casa,Conjunto de Panelas,7,634.4,4440.8,Online
53,Dr. Erick Gonçalves,19,RJ,Rio de Janeiro,Sudeste,793,2023-01-06,SKU-68595,Roupas,Camiseta Masculina,3,47.57,142.71,Online
54,Gabriela Lopes,27,TO,Tocantins,Norte,155,2023-02-18,SKU-30676,Brinquedos,Urso de Pelúcia,3,93.4,280.20000000000005,Loja Física
54,Gabriela Lopes,27,TO,Tocantins,Norte,342,2023-06-19,SKU-31191,Esporte,Esteira Elétrica,8,1862.8,14902.4,Loja Física
55,Lucca Campos,14,PA,Pará,Norte,250,2023-07-22,SKU-47220,Roupas,Tênis Esportivo,10,164.48,1644.8,Loja Física
55,Lucca Campos,14,PA,Pará,Norte,608,2023-03-11,SKU-10344,Brinquedos,Brinquedo Educativo,7,79.47,556.29,Loja Física
56,Isabel Sales,27,TO,Tocantins,Norte,615,2023-09-28,SKU-67575,Esporte,Raquete de Tênis,4,379.94,1519.76,Online
57,Isaac Azevedo,25,SP,São Paulo,Sudeste,843,2023-10-01,SKU-56131,Roupas,Shorts de Verão,2,112.14,224.28,Online
60,Sr. Luiz Gustavo Novaes,27,TO,Tocantins,Norte,289,2023-04-10,SKU-92162,Eletrônicos,Alto-falante Bluetooth,1,1198.31,1198.31,Loja Física
62,Sr. Vitor da Mota,16,PR,Paraná,Sul,340,2023-10-21,SKU-37873,Casa,Ventilador de Mesa,8,270.78,2166.24,Loja Física
62,Sr. Vitor da Mota,16,PR,Paraná,Sul,679,2023-05-29,SKU-74214,Casa,Conjunto de Panelas,7,634.4,4440.8,Loja Física
63,Sr. Fernando Peixoto,4,AM,Amazonas,Norte,462,2023-03-17,SKU-11521,Brinquedos,Boneca,10,142.37,1423.7,Online
63,Sr. Fernando Peixoto,4,AM,Amazonas,Norte,790,2023-11-20,SKU-46571,Roupas,Camisa Social,8,166.94,1335.52,Online
63,Sr. Fernando Peixoto,4,AM,Amazonas,Norte,971,2023-02-25,SKU-28878,Roupas,Calça Jeans,6,123.17,739.02,Online
64,Sra. Maria Fernanda Gonçalves,1,AC,Acre,Norte,56,2023-06-30,SKU-99850,Roupas,Vestido Feminino,7,354.77,2483.39,Loja Física
64,Sra. Maria Fernanda Gonçalves,1,AC,Acre,Norte,251,2023-06-24,SKU-91071,Roupas,Sapatilhas Femininas,3,150.05,450.15000000000003,Loja Física
65,Julia Novaes,25,SP,São Paulo,Sudeste,99,2023-09-07,SKU-50055,Esporte,Luva de Boxe,4,98.09,392.36,Loja Física
65,Julia Novaes,25,SP,São Paulo,Sudeste,150,2023-05-12,SKU-68595,Roupas,Camiseta Masculina,9,47.57,428.13,Loja Física
65,Julia Novaes,25,SP,São Paulo,Sudeste,362,2023-04-16,SKU-42823,Eletrônicos,TV LED,8,4350.2,34801.6,Loja Física
65,Julia Novaes,25,SP,São Paulo,Sudeste,528,2023-04-03,SKU-36297,Roupas,Jaqueta de Couro,5,1959.53,9797.65,Loja Física
65,Julia Novaes,25,SP,São Paulo,Sudeste,902,2023-11-19,SKU-67575,Esporte,Raquete de Tênis,3,379.94,1139.82,Loja Física
66,Ana Beatriz Nunes,12,MS,Mato Grosso do Sul,Centro-Oeste,349,2023-02-09,SKU-53822,Brinquedos,Quebra-cabeça,6,122.47,734.8199999999999,Loja Física
66,Ana Beatriz Nunes,12,MS,Mato Grosso do Sul,Centro-Oeste,989,2023-03-14,SKU-10344,Brinquedos,Brinquedo Educativo,9,79.47,715.23,Loja Física
67,Kevin da Rocha,24,SC,Santa Catarina,Sul,311,2023-07-25,SKU-72688,Eletrônicos,Smartphone,7,2718.36,19028.52,Loja Física
67,Kevin da Rocha,24,SC,Santa Catarina,Sul,488,2023-08-25,SKU-26460,Casa,Almofada Decorativa,7,73.62,515.34,Loja Física
68,Melissa Melo,25,SP,São Paulo,Sudeste,53,2023-01-08,SKU-50055,Esporte,Luva de Boxe,5,98.09,490.45000000000005,Loja Física
68,Melissa Melo,25,SP,São Paulo,Sudeste,54,2023-01-23,SKU-30274,Brinquedos,Kit de Desenho,1,148.7,148.7,Loja Física
68,Melissa Melo,25,SP,São Paulo,Sudeste,290,2023-12-17,SKU-26460,Casa,Almofada Decorativa,10,73.62,736.2,Loja Física
68,Melissa Melo,25,SP,São Paulo,Sudeste,812,2023-04-22,SKU-10344,Brinquedos,Brinquedo Educativo,6,79.47,476.82,Loja Física
69,Amanda Souza,18,PI,Piauí,Nordeste,135,2023-06-20,SKU-53822,Brinquedos,Quebra-cabeça,1,122.47,122.47,Online
70,Amanda Rodrigues,11,MT,Mato Grosso,Centro-Oeste,783,2023-12-13,SKU-11521,Brinquedos,Boneca,7,142.37,996.59,Online
71,Pedro Cavalcanti,20,RN,Rio Grande do Norte,Nordeste,201,2023-01-01,SKU-31191,Esporte,Esteira Elétrica,1,1862.8,1862.8,Online
71,Pedro Cavalcanti,20,RN,Rio Grande do Norte,Nordeste,254,2023-02-26,SKU-50582,Eletrônicos,Laptop,1,4526.6,4526.6,Online
71,Pedro Cavalcanti,20,RN,Rio Grande do Norte,Nordeste,377,2023-07-14,SKU-26460,Casa,Almofada Decorativa,8,73.62,588.96,Online
71,Pedro Cavalcanti,20,RN,Rio Grande do Norte,Nordeste,942,2023-09-08,SKU-97371,Esporte,Patins,5,237.06,1185.3,Online
72,Bernardo Moreira,22,RO,Rondônia,Norte,322,2023-02-19,SKU-73390,Casa,Luminária de Mesa,1,35.83,35.83,Loja Física
72,Bernardo Moreira,22,RO,Rondônia,Norte,328,2023-04-14,SKU-72849,Casa,Cortina Blackout,9,234.54,2110.86,Loja Física
72,Bernardo Moreira,22,RO,Rondônia,Norte,849,2023-12-04,SKU-30274,Brinquedos,Kit de Desenho,3,148.7,446.09999999999997,Loja Física
72,Bernardo Moreira,22,RO,Rondônia,Norte,867,2023-11-18,SKU-92162,Eletrônicos,Alto-falante Bluetooth,10,1198.31,11983.099999999999,Loja Física
72,Bernardo Moreira,22,RO,Rondônia,Norte,878,2023-10-05,SKU-50582,Eletrônicos,Laptop,7,4526.6,31686.200000000004,Loja Física
73,Sra. Sophie Vieira,22,RO,Rondônia,Norte,87,2023-02-10,SKU-94109,Brinquedos,Kit de Cozinha Infantil,9,136.43,1227.8700000000001,Online
73,Sra. Sophie Vieira,22,RO,Rondônia,Norte,542,2023-09-10,SKU-25095,Brinquedos,Jogo de Tabuleiro,8,190.34,1522.72,Online
73,Sra. Sophie Vieira,22,RO,Rondônia,Norte,815,2023-01-22,SKU-79560,Brinquedos,Patinete Infantil,4,131.58,526.32,Online
74,Yuri Campos,24,SC,Santa Catarina,Sul,95,2023-10-11,SKU-49210,Eletrônicos,Tablet,5,715.28,3576.3999999999996,Online
74,Yuri Campos,24,SC,Santa Catarina,Sul,140,2023-07-13,SKU-94109,Brinquedos,Kit de Cozinha Infantil,8,136.43,1091.44,Online
74,Yuri Campos,24,SC,Santa Catarina,Sul,141,2023-02-23,SKU-25929,Esporte,Mochila de Hidratação,8,295.55,2364.4,Online
74,Yuri Campos,24,SC,Santa Catarina,Sul,660,2023-12-14,SKU-19290,Esporte,Bola de Futebol,1,184.44,184.44,Online
74,Yuri Campos,24,SC,Santa Catarina,Sul,700,2023-08-25,SKU-97371,Esporte,Patins,4,237.06,948.24,Online
74,Yuri Campos,24,SC,Santa Catarina,Sul,715,2023-08-25,SKU-30274,Brinquedos,Kit de Desenho,6,148.7,892.1999999999999,Online
74,Yuri Campos,24,SC,Santa Catarina,Sul,720,2023-10-04,SKU-73390,Casa,Luminária de Mesa,9,35.83,322.46999999999997,Online
74,Yuri Campos,24,SC,Santa Catarina,Sul,958,2023-05-21,SKU-50582,Eletrônicos,Laptop,5,4526.6,22633.0,Online
75,Sr. Emanuel Costela,5,BA,Bahia,Nordeste,224,2023-10-20,SKU-73390,Casa,Luminária de Mesa,4,35.83,143.32,Online
75,Sr. Emanuel Costela,5,BA,Bahia,Nordeste,503,2023-06-16,SKU-86759,Eletrônicos,Smartwatch,9,185.34,1668.06,Online
76,Rebeca Pires,25,SP,São Paulo,Sudeste,93,2023-07-19,SKU-54960,Eletrônicos,Fone de Ouvido Bluetooth,4,128.9,515.6,Loja Física
76,Rebeca Pires,25,SP,São Paulo,Sudeste,799,2023-07-15,SKU-37178,Eletrônicos,Carregador Portátil,2,53.67,107.34,Loja Física
77,Marina da Cunha,16,PR,Paraná,Sul,332,2023-06-19,SKU-68595,Roupas,Camiseta Masculina,4,47.57,190.28,Online
77,Marina da Cunha,16,PR,Paraná,Sul,513,2023-03-21,SKU-10889,Eletrônicos,Câmera Digital,3,5602.01,16806.03,Online
78,Enrico da Conceição,17,PE,Pernambuco,Nordeste,862,2023-02-08,SKU-10889,Eletrônicos,Câmera Digital,2,5602.01,11204.02,Online
80,Julia da Cunha,3,AP,Amapá,Norte,740,2023-06-03,SKU-94109,Brinquedos,Kit de Cozinha Infantil,10,136.43,1364.3000000000002,Online
81,Sra. Carolina Azevedo,5,BA,Bahia,Nordeste,4,2023-05-06,SKU-26460,Casa,Almofada Decorativa,5,73.62,368.1,Online
81,Sra. Carolina Azevedo,5,BA,Bahia,Nordeste,10,2023-07-11,SKU-37178,Eletrônicos,Carregador Portátil,2,53.67,107.34,Online
81,Sra. Carolina Azevedo,5,BA,Bahia,Nordeste,108,2023-08-24,SKU-68595,Roupas,Camiseta Masculina,6,47.57,285.42,Online
81,Sra. Carolina Azevedo,5,BA,Bahia,Nordeste,727,2023-04-27,SKU-20895,Casa,Espelho de Parede,7,226.92,1588.4399999999998,Online
81,Sra. Carolina Azevedo,5,BA,Bahia,Nordeste,923,2023-09-01,SKU-97371,Esporte,Patins,4,237.06,948.24,Online
82,Isabelly Castro,7,DF,Distrito Federal,Centro-Oeste,572,2023-09-29,SKU-37873,Casa,Ventilador de Mesa,1,270.78,270.78,Online
82,Isabelly Castro,7,DF,Distrito Federal,Centro-Oeste,648,2023-06-12,SKU-92162,Eletrônicos,Alto-falante Bluetooth,10,1198.31,11983.099999999999,Online
82,Isabelly Castro,7,DF,Distrito Federal,Centro-Oeste,818,2023-10-13,SKU-47207,Esporte,Bicicleta Mountain Bike,5,1671.59,8357.949999999999,Online
82,Isabelly Castro,7,DF,Distrito Federal,Centro-Oeste,951,2023-12-08,SKU-10889,Eletrônicos,Câmera Digital,4,5602.01,22408.04,Online
83,Helena Vieira,5,BA,Bahia,Nordeste,941,2023-03-23,SKU-47207,Esporte,Bicicleta Mountain Bike,6,1671.59,10029.539999999999,Loja Física
84,Davi Costa,15,PB,Paraíba,Nordeste,828,2023-12-24,SKU-74214,Casa,Conjunto de Panelas,2,634.4,1268.8,Online
84,Davi Costa,15,PB,Paraíba,Nordeste,908,2023-02-22,SKU-37178,Eletrônicos,Carregador Portátil,4,53.67,214.68,Online
84,Davi Costa,15,PB,Paraíba,Nordeste,954,2023-09-14,SKU-97371,Esporte,Patins,5,237.06,1185.3,Online
86,Dra. Catarina da Cunha,24,SC,Santa Catarina,Sul,131,2023-10-17,SKU-54960,Eletrônicos,Fone de Ouvido Bluetooth,6,128.9,773.4000000000001,Loja Física
86,Dra. Catarina da Cunha,24,SC,Santa Catarina,Sul,412,2023-02-27,SKU-72688,Eletrônicos,Smartphone,6,2718.36,16310.16,Loja Física
86,Dra. Catarina da Cunha,24,SC,Santa Catarina,Sul,487,2023-11-14,SKU-20568,Eletrônicos,Roteador Wi-Fi,2,491.41,982.82,Loja Física
86,Dra. Catarina da Cunha,24,SC,Santa Catarina,Sul,894,2023-12-23,SKU-50582,Eletrônicos,Laptop,6,4526.6,27159.600000000002,Loja Física
86,Dra. Catarina da Cunha,24,SC,Santa Catarina,Sul,962,2023-04-01,SKU-19189,Brinquedos,Blocos de Montar,8,167.64,1341.12,Loja Física
87,Sra. Lavínia Rocha,21,RS,Rio Grande do Sul,Sul,434,2023-11-07,SKU-37178,Eletrônicos,Carregador Portátil,9,53.67,483.03000000000003,Loja Física
87,Sra. Lavínia Rocha,21,RS,Rio Grande do Sul,Sul,448,2023-08-24,SKU-26460,Casa,Almofada Decorativa,4,73.62,294.48,Loja Física
87,Sra. Lavínia Rocha,21,RS,Rio Grande do Sul,Sul,774,2023-12-20,SKU-91071,Roupas,Sapatilhas Femininas,8,150.05,1200.4,Loja Física
